StudentID,FirstName,LastName,Department,GPA,Attendance
1,Laura,Smith,Biology,2.2,79
2,Sarah,Wilson,Physics,2.86,65
3,Laura,Williams,Biology,2.41,65
4,Michael,Smith,Mathematics,2.18,65
5,Emily,Jones,Mathematics,1.69,71
6,John,Williams,Engineering,2.58,58
7,Emily,Johnson,Biology,1.75,61
8,Michael,Davis,Computer Science,3.57,65
9,Emily,Miller,Mathematics,3.85,99
10,Alex,Davis,Engineering,1.53,96
11,Laura,Miller,Physics,3.17,70
12,John,Davis,Computer Science,2.12,56
13,David,Johnson,Biology,2.27,82
14,Alex,Brown,Biology,3.7,58
15,Jane,Smith,Engineering,0.28,84
16,Jane,Smith,Mathematics,0.35,82
17,Jane,Davis,Computer Science,0.08,71
18,John,Brown,Physics,3.33,77
19,David,Smith,Mathematics,3.11,82
20,Michael,Smith,Computer Science,3.48,90
21,John,Williams,Biology,3.91,80
22,Michael,Williams,Mathematics,3.2,51
23,David,Williams,Engineering,1.85,93
24,John,Jones,Computer Science,3.12,86
25,Sarah,Davis,Mathematics,0.47,89
26,David,Jones,Computer Science,2.56,71
27,Laura,Brown,Physics,0.57,81
28,Emily,Brown,Physics,3.78,87
29,David,Jones,Computer Science,2.09,88
30,Alex,Wilson,Engineering,1.66,100
31,Emily,Williams,Mathematics,1.06,94
32,David,Brown,Physics,3.1,88
33,Sarah,Davis,Engineering,1.82,64
34,Laura,Miller,Physics,2.27,52
35,Jane,Smith,Engineering,0.08,91
36,Alex,Davis,Engineering,2.47,88
37,Alex,Johnson,Computer Science,2.45,93
38,Alex,Wilson,Mathematics,2.47,67
39,David,Johnson,Computer Science,3.77,59
40,Jane,Johnson,Biology,2.73,68
41,David,Davis,Biology,1.44,71
42,Sarah,Williams,Mathematics,1.75,58
43,Sarah,Smith,Computer Science,2.79,74
44,David,Davis,Engineering,0.24,69
45,John,Williams,Engineering,2.67,55
46,Laura,Davis,Biology,2.68,98
47,David,Smith,Physics,0.84,69
48,Alex,Miller,Computer Science,0.52,90
49,Alex,Brown,Biology,1.26,83
50,David,Williams,Biology,1.45,96
51,Jane,Wilson,Mathematics,2.28,78
52,John,Johnson,Biology,1.75,53
53,Jane,Davis,Engineering,3.95,54
54,Alex,Brown,Biology,0.41,93
55,Michael,Brown,Biology,0.84,94
56,John,Smith,Computer Science,0.65,51
57,Michael,Williams,Engineering,2.61,63
58,Laura,Wilson,Engineering,1.01,98
59,Laura,Williams,Mathematics,1.87,91
60,Michael,Smith,Mathematics,0.98,91
61,Laura,Wilson,Mathematics,0.64,83
62,John,Miller,Biology,0.44,100
63,David,Smith,Physics,2.63,60
64,Sarah,Jones,Mathematics,0.55,95
65,David,Brown,Mathematics,0.79,58
66,Laura,Miller,Physics,1.47,61
67,John,Williams,Computer Science,3.28,77
68,Sarah,Johnson,Physics,0.39,91
69,Alex,Wilson,Physics,3.35,52
70,Laura,Smith,Mathematics,0.38,62
71,Alex,Miller,Engineering,3.91,86
72,Laura,Williams,Biology,1.87,76
73,Jane,Brown,Biology,3.91,87
74,David,Jones,Physics,2.42,55
75,Alex,Johnson,Mathematics,2.96,94
76,Emily,Johnson,Engineering,0.16,61
77,John,Smith,Mathematics,1.13,85
78,Jane,Smith,Biology,0.48,61
79,Laura,Davis,Mathematics,1.18,56
80,Emily,Miller,Physics,0.47,52
81,Sarah,Miller,Physics,1.27,87
82,Laura,Brown,Computer Science,1.66,59
83,Alex,Davis,Computer Science,0.26,52
84,Alex,Jones,Engineering,2.77,86
85,John,Jones,Computer Science,2.27,92
86,Laura,Smith,Computer Science,1.06,56
87,Sarah,Miller,Biology,2.09,87
88,David,Williams,Mathematics,0.38,97
89,Jane,Williams,Engineering,2.3,63
90,David,Miller,Computer Science,3.72,87
91,Laura,Davis,Biology,1.27,68
92,Michael,Miller,Physics,2.67,82
93,Alex,Williams,Computer Science,0.53,67
94,Sarah,Davis,Physics,2.87,67
95,David,Johnson,Physics,1.16,81
96,David,Wilson,Physics,0.73,60
97,Laura,Williams,Engineering,2.35,71
98,Jane,Johnson,Mathematics,0.08,86
99,Alex,Smith,Physics,3.32,97
100,Sarah,Johnson,Engineering,0.02,73
